,model,name,MCC,seed
78,lr,lr_seed_15_skf_3_paras_2_C_0.01_weight_balanced,0.33799999999999997,15_skf_3
79,lr,lr_seed_15_skf_4_paras_2_C_0.01_weight_balanced,0.35,15_skf_4
80,lr,lr_seed_16_skf_0_paras_2_C_0.01_weight_balanced,0.319,16_skf_0
81,lr,lr_seed_16_skf_1_paras_2_C_0.01_weight_balanced,0.38,16_skf_1
82,lr,lr_seed_16_skf_2_paras_2_C_0.01_weight_balanced,0.314,16_skf_2
83,lr,lr_seed_16_skf_3_paras_2_C_0.01_weight_balanced,0.314,16_skf_3
84,lr,lr_seed_16_skf_4_paras_2_C_0.01_weight_balanced,0.37200000000000005,16_skf_4
85,lr,lr_seed_17_skf_0_paras_2_C_0.01_weight_balanced,0.33799999999999997,17_skf_0
86,lr,lr_seed_17_skf_1_paras_2_C_0.01_weight_balanced,0.33399999999999996,17_skf_1
87,lr,lr_seed_17_skf_2_paras_2_C_0.01_weight_balanced,0.28,17_skf_2
88,lr,lr_seed_17_skf_3_paras_2_C_0.01_weight_balanced,0.35,17_skf_3
89,lr,lr_seed_17_skf_4_paras_2_C_0.01_weight_balanced,0.308,17_skf_4
90,lr,lr_seed_18_skf_0_paras_2_C_0.01_weight_balanced,0.33,18_skf_0
91,lr,lr_seed_18_skf_1_paras_2_C_0.01_weight_balanced,0.308,18_skf_1
92,lr,lr_seed_18_skf_2_paras_2_C_0.01_weight_balanced,0.384,18_skf_2
93,lr,lr_seed_18_skf_3_paras_2_C_0.01_weight_balanced,0.38,18_skf_3
94,lr,lr_seed_18_skf_4_paras_2_C_0.01_weight_balanced,0.37200000000000005,18_skf_4
95,lr,lr_seed_19_skf_0_paras_2_C_0.01_weight_balanced,0.345,19_skf_0
96,lr,lr_seed_19_skf_1_paras_2_C_0.01_weight_balanced,0.29100000000000004,19_skf_1
97,lr,lr_seed_19_skf_2_paras_2_C_0.01_weight_balanced,0.322,19_skf_2
98,lr,lr_seed_19_skf_3_paras_2_C_0.01_weight_balanced,0.361,19_skf_3
99,lr,lr_seed_19_skf_4_paras_2_C_0.01_weight_balanced,0.353,19_skf_4
0,svm,svm_seed_0_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23399999999999999,0_skf_0
1,svm,svm_seed_0_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23399999999999999,0_skf_1
3,svm,svm_seed_0_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.32799999999999996,0_skf_3
4,svm,svm_seed_0_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.371,0_skf_4
6,svm,svm_seed_1_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.214,1_skf_1
7,svm,svm_seed_1_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.20800000000000002,1_skf_2
8,svm,svm_seed_1_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.306,1_skf_3
9,svm,svm_seed_1_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.374,1_skf_4
10,svm,svm_seed_2_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.326,2_skf_0
11,svm,svm_seed_2_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.353,2_skf_1
12,svm,svm_seed_2_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.305,2_skf_2
14,svm,svm_seed_2_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.315,2_skf_4
15,svm,svm_seed_3_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23800000000000002,3_skf_0
16,svm,svm_seed_3_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.258,3_skf_1
18,svm,svm_seed_3_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.348,3_skf_3
19,svm,svm_seed_3_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.395,3_skf_4
22,svm,svm_seed_4_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.332,4_skf_2
23,svm,svm_seed_4_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.24100000000000002,4_skf_3
24,svm,svm_seed_4_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.28300000000000003,4_skf_4
25,svm,svm_seed_5_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.28300000000000003,5_skf_0
28,svm,svm_seed_5_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23399999999999999,5_skf_3
29,svm,svm_seed_5_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.233,5_skf_4
30,svm,svm_seed_6_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.21100000000000002,6_skf_0
31,svm,svm_seed_6_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.309,6_skf_1
32,svm,svm_seed_6_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.32799999999999996,6_skf_2
33,svm,svm_seed_6_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23800000000000002,6_skf_3
34,svm,svm_seed_6_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.21100000000000002,6_skf_4
35,svm,svm_seed_7_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.259,7_skf_0
36,svm,svm_seed_7_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.28300000000000003,7_skf_1
37,svm,svm_seed_7_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.259,7_skf_2
38,svm,svm_seed_7_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.315,7_skf_3
41,svm,svm_seed_8_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.217,8_skf_1
42,svm,svm_seed_8_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.315,8_skf_2
