,model,name,MCC,seed
37,rf,rf_seed_7_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.359,7_skf_2
38,rf,rf_seed_7_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.275,7_skf_3
41,rf,rf_seed_8_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.29100000000000004,8_skf_1
42,rf,rf_seed_8_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34700000000000003,8_skf_2
43,rf,rf_seed_8_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.38299999999999995,8_skf_3
44,rf,rf_seed_8_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.423,8_skf_4
45,rf,rf_seed_9_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.39,9_skf_0
46,rf,rf_seed_9_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.38299999999999995,9_skf_1
47,rf,rf_seed_9_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34700000000000003,9_skf_2
49,rf,rf_seed_9_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.36200000000000004,9_skf_4
50,rf,rf_seed_10_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.40299999999999997,10_skf_0
51,rf,rf_seed_10_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.292,10_skf_1
52,rf,rf_seed_10_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.369,10_skf_2
53,rf,rf_seed_10_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.324,10_skf_3
54,rf,rf_seed_10_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.324,10_skf_4
56,rf,rf_seed_11_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.292,11_skf_1
57,rf,rf_seed_11_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.39,11_skf_2
58,rf,rf_seed_11_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.275,11_skf_3
60,rf,rf_seed_12_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.38299999999999995,12_skf_0
61,rf,rf_seed_12_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.317,12_skf_1
62,rf,rf_seed_12_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.317,12_skf_2
64,rf,rf_seed_12_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.337,12_skf_4
65,rf,rf_seed_13_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.359,13_skf_0
66,rf,rf_seed_13_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.36200000000000004,13_skf_1
68,rf,rf_seed_13_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.275,13_skf_3
69,rf,rf_seed_13_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.40299999999999997,13_skf_4
70,rf,rf_seed_14_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.3,14_skf_0
71,rf,rf_seed_14_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.39,14_skf_1
72,rf,rf_seed_14_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.315,14_skf_2
73,rf,rf_seed_14_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34,14_skf_3
75,rf,rf_seed_15_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.3,15_skf_0
76,rf,rf_seed_15_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.40299999999999997,15_skf_1
77,rf,rf_seed_15_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34700000000000003,15_skf_2
79,rf,rf_seed_15_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.38299999999999995,15_skf_4
82,rf,rf_seed_16_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.429,16_skf_2
83,rf,rf_seed_16_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.38299999999999995,16_skf_3
85,rf,rf_seed_17_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.324,17_skf_0
