,name,seed,tgood,vgood,model
97,knn_seed_71_skf_4_paras_0_K_3,71_skf_4,1,1,knn
98,knn_seed_72_skf_4_paras_0_K_3,72_skf_4,1,1,knn
99,knn_seed_74_skf_2_paras_0_K_3,74_skf_2,1,1,knn
100,knn_seed_75_skf_0_paras_0_K_3,75_skf_0,1,1,knn
101,knn_seed_75_skf_1_paras_0_K_3,75_skf_1,1,1,knn
102,knn_seed_77_skf_1_paras_0_K_3,77_skf_1,1,1,knn
103,knn_seed_78_skf_1_paras_0_K_3,78_skf_1,1,1,knn
104,knn_seed_79_skf_0_paras_0_K_3,79_skf_0,1,1,knn
105,knn_seed_79_skf_4_paras_0_K_3,79_skf_4,1,1,knn
106,knn_seed_80_skf_2_paras_0_K_3,80_skf_2,1,1,knn
107,knn_seed_82_skf_2_paras_0_K_3,82_skf_2,1,1,knn
108,knn_seed_83_skf_3_paras_0_K_3,83_skf_3,1,1,knn
109,knn_seed_83_skf_4_paras_0_K_3,83_skf_4,1,1,knn
110,knn_seed_85_skf_0_paras_0_K_3,85_skf_0,1,1,knn
111,knn_seed_85_skf_1_paras_0_K_3,85_skf_1,1,1,knn
112,knn_seed_85_skf_2_paras_0_K_3,85_skf_2,1,1,knn
113,knn_seed_88_skf_4_paras_0_K_3,88_skf_4,1,1,knn
114,knn_seed_89_skf_0_paras_0_K_3,89_skf_0,1,1,knn
115,knn_seed_89_skf_1_paras_0_K_3,89_skf_1,1,1,knn
116,knn_seed_89_skf_2_paras_0_K_3,89_skf_2,1,1,knn
117,knn_seed_90_skf_1_paras_0_K_3,90_skf_1,1,1,knn
118,knn_seed_90_skf_3_paras_0_K_3,90_skf_3,1,1,knn
119,knn_seed_91_skf_0_paras_0_K_3,91_skf_0,1,1,knn
120,knn_seed_93_skf_2_paras_0_K_3,93_skf_2,1,1,knn
121,knn_seed_93_skf_3_paras_0_K_3,93_skf_3,1,1,knn
122,knn_seed_94_skf_4_paras_0_K_3,94_skf_4,1,1,knn
123,knn_seed_95_skf_0_paras_0_K_3,95_skf_0,1,1,knn
124,knn_seed_95_skf_3_paras_0_K_3,95_skf_3,1,1,knn
125,knn_seed_96_skf_0_paras_0_K_3,96_skf_0,1,1,knn
126,knn_seed_97_skf_3_paras_0_K_3,97_skf_3,1,1,knn
127,knn_seed_99_skf_1_paras_0_K_3,99_skf_1,1,1,knn
128,knn_seed_100_skf_0_paras_0_K_3,100_skf_0,1,1,knn
