,model,name,MCC,seed
52,lr,lr_seed_10_skf_2_paras_0_C_0.001_weight_balanced,0.28,10_skf_2
53,lr,lr_seed_10_skf_3_paras_0_C_0.001_weight_balanced,0.355,10_skf_3
54,lr,lr_seed_10_skf_4_paras_0_C_0.001_weight_balanced,0.368,10_skf_4
55,lr,lr_seed_11_skf_0_paras_0_C_0.001_weight_balanced,0.265,11_skf_0
57,lr,lr_seed_11_skf_2_paras_0_C_0.001_weight_balanced,0.401,11_skf_2
58,lr,lr_seed_11_skf_3_paras_0_C_0.001_weight_balanced,0.336,11_skf_3
59,lr,lr_seed_11_skf_4_paras_0_C_0.001_weight_balanced,0.344,11_skf_4
60,lr,lr_seed_12_skf_0_paras_0_C_0.001_weight_balanced,0.344,12_skf_0
61,lr,lr_seed_12_skf_1_paras_0_C_0.001_weight_balanced,0.355,12_skf_1
62,lr,lr_seed_12_skf_2_paras_0_C_0.001_weight_balanced,0.382,12_skf_2
63,lr,lr_seed_12_skf_3_paras_0_C_0.001_weight_balanced,0.32299999999999995,12_skf_3
64,lr,lr_seed_12_skf_4_paras_0_C_0.001_weight_balanced,0.358,12_skf_4
65,lr,lr_seed_13_skf_0_paras_0_C_0.001_weight_balanced,0.311,13_skf_0
66,lr,lr_seed_13_skf_1_paras_0_C_0.001_weight_balanced,0.377,13_skf_1
67,lr,lr_seed_13_skf_2_paras_0_C_0.001_weight_balanced,0.368,13_skf_2
68,lr,lr_seed_13_skf_3_paras_0_C_0.001_weight_balanced,0.348,13_skf_3
69,lr,lr_seed_13_skf_4_paras_0_C_0.001_weight_balanced,0.336,13_skf_4
70,lr,lr_seed_14_skf_0_paras_0_C_0.001_weight_balanced,0.295,14_skf_0
71,lr,lr_seed_14_skf_1_paras_0_C_0.001_weight_balanced,0.363,14_skf_1
72,lr,lr_seed_14_skf_2_paras_0_C_0.001_weight_balanced,0.311,14_skf_2
74,lr,lr_seed_14_skf_4_paras_0_C_0.001_weight_balanced,0.39799999999999996,14_skf_4
75,lr,lr_seed_15_skf_0_paras_0_C_0.001_weight_balanced,0.32899999999999996,15_skf_0
76,lr,lr_seed_15_skf_1_paras_0_C_0.001_weight_balanced,0.36700000000000005,15_skf_1
77,lr,lr_seed_15_skf_2_paras_0_C_0.001_weight_balanced,0.33799999999999997,15_skf_2
78,lr,lr_seed_15_skf_3_paras_0_C_0.001_weight_balanced,0.391,15_skf_3
79,lr,lr_seed_15_skf_4_paras_0_C_0.001_weight_balanced,0.381,15_skf_4
81,lr,lr_seed_16_skf_1_paras_0_C_0.001_weight_balanced,0.33799999999999997,16_skf_1
82,lr,lr_seed_16_skf_2_paras_0_C_0.001_weight_balanced,0.317,16_skf_2
83,lr,lr_seed_16_skf_3_paras_0_C_0.001_weight_balanced,0.342,16_skf_3
84,lr,lr_seed_16_skf_4_paras_0_C_0.001_weight_balanced,0.265,16_skf_4
85,lr,lr_seed_17_skf_0_paras_0_C_0.001_weight_balanced,0.401,17_skf_0
86,lr,lr_seed_17_skf_1_paras_0_C_0.001_weight_balanced,0.37200000000000005,17_skf_1
87,lr,lr_seed_17_skf_2_paras_0_C_0.001_weight_balanced,0.396,17_skf_2
88,lr,lr_seed_17_skf_3_paras_0_C_0.001_weight_balanced,0.264,17_skf_3
89,lr,lr_seed_17_skf_4_paras_0_C_0.001_weight_balanced,0.369,17_skf_4
91,lr,lr_seed_18_skf_1_paras_0_C_0.001_weight_balanced,0.307,18_skf_1
92,lr,lr_seed_18_skf_2_paras_0_C_0.001_weight_balanced,0.294,18_skf_2
93,lr,lr_seed_18_skf_3_paras_0_C_0.001_weight_balanced,0.386,18_skf_3
