,name,seed,tgood,vgood,model
140,knn_seed_98_skf_2_paras_1_K_5,98_skf_2,1,1,knn
141,knn_seed_98_skf_3_paras_1_K_5,98_skf_3,1,1,knn
142,knn_seed_98_skf_4_paras_1_K_5,98_skf_4,1,1,knn
143,knn_seed_99_skf_2_paras_1_K_5,99_skf_2,1,1,knn
144,knn_seed_100_skf_3_paras_1_K_5,100_skf_3,1,1,knn
145,knn_seed_100_skf_4_paras_1_K_5,100_skf_4,1,1,knn
146,knn_seed_103_skf_3_paras_1_K_5,103_skf_3,1,1,knn
147,knn_seed_104_skf_1_paras_1_K_5,104_skf_1,1,1,knn
148,knn_seed_104_skf_3_paras_1_K_5,104_skf_3,1,1,knn
149,knn_seed_105_skf_1_paras_1_K_5,105_skf_1,1,1,knn
150,knn_seed_105_skf_2_paras_1_K_5,105_skf_2,1,1,knn
151,knn_seed_106_skf_0_paras_1_K_5,106_skf_0,1,1,knn
152,knn_seed_109_skf_2_paras_1_K_5,109_skf_2,1,1,knn
153,knn_seed_110_skf_0_paras_1_K_5,110_skf_0,1,1,knn
154,knn_seed_110_skf_2_paras_1_K_5,110_skf_2,1,1,knn
155,knn_seed_110_skf_4_paras_1_K_5,110_skf_4,1,1,knn
156,knn_seed_112_skf_3_paras_1_K_5,112_skf_3,1,1,knn
157,knn_seed_113_skf_0_paras_1_K_5,113_skf_0,1,1,knn
158,knn_seed_113_skf_2_paras_1_K_5,113_skf_2,1,1,knn
159,knn_seed_114_skf_3_paras_1_K_5,114_skf_3,1,1,knn
160,knn_seed_115_skf_1_paras_1_K_5,115_skf_1,1,1,knn
161,knn_seed_115_skf_2_paras_1_K_5,115_skf_2,1,1,knn
162,knn_seed_116_skf_0_paras_1_K_5,116_skf_0,1,1,knn
163,knn_seed_116_skf_3_paras_1_K_5,116_skf_3,1,1,knn
164,knn_seed_118_skf_0_paras_1_K_5,118_skf_0,1,1,knn
165,knn_seed_119_skf_4_paras_1_K_5,119_skf_4,1,1,knn
166,knn_seed_120_skf_1_paras_1_K_5,120_skf_1,1,1,knn
167,knn_seed_120_skf_2_paras_1_K_5,120_skf_2,1,1,knn
168,knn_seed_120_skf_4_paras_1_K_5,120_skf_4,1,1,knn
169,knn_seed_121_skf_2_paras_1_K_5,121_skf_2,1,1,knn
170,knn_seed_121_skf_3_paras_1_K_5,121_skf_3,1,1,knn
171,knn_seed_122_skf_3_paras_1_K_5,122_skf_3,1,1,knn
